lith	DT24/DTC	DT/GR	GR	GR_silica	GR_clay	M2R2	M2R3	M2R6	M2R9	M2RX	F	ZDEN	ZDENm	CNCF	CNCFm	CNCF_clay	TM	TP	TN	PE	SP	GR_m	clay	silica	carbonate
8	61.896	0.64754	95.586	1.47734	0.60976	44.311	45.642	48.477	49.785	50.432	0.87863	2.589	0.69464	10.204	0.16502	1.6983	1.05555	0.8263	5.76689	1.84	0.40493	0.43563	8	63	29
8	61.657	1.16409	52.966	1.81797	0.40228	60.393	60.354	61.182	62.311	62.909	0.96001	2.6	0.71429	9.841	0.15593	1.74779	1.05428	0.82627	5.75972	1.5	0.02789	0.13562	8	87	5
7	63.7	0.64438	98.855	1.44843	0.62952	52.087	52.087	52.084	51.766	51.513	1.01114	2.62	0.75	11.102	0.18749	1.75508	1.03394	0.81745	5.69379	1.319	0.51344	0.45864	7	92	1
7	69.857	0.78593	88.885	1.53548	0.57116	126.718	130.918	155.488	168.917	176.838	0.71658	2.602	0.71786	7.237	0.09077	1.87216	0.9904	0.75057	5.82822	1.05	0.24758	0.38846	6.4	90.8	2.8
8	65.878	1.03126	63.881	1.7376	0.44749	52.48	52.189	54.575	55.738	56.26	0.93281	2.58	0.67857	12.375	0.21934	1.58285	1.02829	0.8072	5.72001	2.237	0.18721	0.21245	6	86	8
10	62.762	1.291	48.615	1.84863	0.38556	47.15	47.15	47.15	47.15	47.15	1	2.585	0.6875	7.323	0.09292	1.81227	1.05035	0.80629	5.85293	1.722	0.44158	0.10499	6	89	5
7	61.13	0.75551	80.912	1.60255	0.5284	73.173	71.887	77.166	79.736	80.782	0.90581	2.642	0.78929	10.074	0.16176	1.87297	1.04679	0.83116	5.68887	2.217	0.29148	0.33234	5	87	8
8	65.242	1.18484	55.064	1.8029	0.4106	84.857	74.282	65.255	62.786	61.602	1.3775	2.573	0.66607	9.915	0.15778	1.66244	1.03511	0.80006	5.80038	1.735	0.87625	0.15039	5	93	2
3	64.915	0.57887	112.14	1.32756	0.71666	62.169	63.747	66.821	68.64	70.248	0.88499	2.676	0.85	9.787	0.15458	2.00455	1.01005	0.80194	5.64627	2.4	0.36817	0.55216	5	87.6	7.4
7	66.629	1.10346	60.382	1.7639	0.43247	70.93	75.922	82.02	87.251	92.139	0.76982	2.521	0.57321	9.309	0.14262	1.53818	1.03898	0.78642	5.90285	1.716	0.12479	0.18782	5	93	2
8	69.528	1.28411	54.145	1.80952	0.40694	52.17	53	54.838	56.685	57.361	0.9095	2.529	0.5875	3.614	0.0001	1.7993	1.01339	0.73666	6.04727	1.466	0.58	0.14392	5	87	8
8	62.98	1.19323	52.781	1.81929	0.40156	49.049	60.523	76.033	84.995	89.569	0.54761	2.604	0.72143	12.695	0.22735	1.63898	1.04358	0.83062	5.67366	1.75	0.19838	0.13432	3	66	31
